"scenario_id","method","x1","t_label","med_ratio","q25_ratio","q75_ratio","baseline","n","cens","cens_lab","grid_type","grid_lab","J","k","arm"
2,"default",1.5,"S75",1.01591646541159,1.0127398102941,1.0214227717688,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"default",1.5,"S50",0.999389671102658,0.992548089009463,1.01851828538743,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"default",1.5,"S25",1.00696740903637,0.996727318200951,1.03512194634686,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"default",1.5,"S10",1.07233043692772,1.04901184064725,1.10703281412014,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",0,"S90",0.989266230493576,0.930057761894696,1.05446940220175,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",0,"S75",0.975580068524427,0.912296266629214,1.03516252884211,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",0,"S50",0.957393171966677,0.902690520129597,1.01681732244597,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",0,"S25",0.945957261968038,0.892006919732311,1.00459115350028,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",0,"S10",0.934578749214835,0.875487878671115,0.999706660868582,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",1.5,"S90",0.967767004621783,0.913825060876853,1.03064372191011,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",1.5,"S75",0.967767004621783,0.913825060876853,1.03064372191011,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",1.5,"S50",0.94174163192743,0.884023448287256,0.996175231238599,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",1.5,"S25",0.930868567022774,0.880174114435361,0.985195600442501,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim100",1.5,"S10",0.943826677141361,0.883788353709831,1.00366603289544,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",0,"S90",1.02188658042364,0.989883160904001,1.06115579280792,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",0,"S75",1.00094964919001,0.970900838896518,1.02964179973599,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",0,"S50",0.991234347989357,0.96206554589004,1.01428293210549,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",0,"S25",0.979629585763031,0.949470937771814,1.00721451436336,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",0,"S10",0.972445885524067,0.940465849475629,1.00174546723871,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",1.5,"S90",1.01053129360209,0.976941400394579,1.04118315975921,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",1.5,"S75",1.01053129360209,0.976941400394579,1.04118315975921,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",1.5,"S50",0.971591818204673,0.944078680368521,0.998462868344843,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",1.5,"S25",0.961978269275878,0.939930191587607,0.989863652375719,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
2,"sim500",1.5,"S10",0.980306464362335,0.948479761562525,1.01188990194753,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",0,"S90",1.03460544038013,1.02688520750043,1.04242011313574,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",0,"S75",1.18681354393126,1.16292718535168,1.21661899151486,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",0,"S50",1.28481470400167,1.26094244917809,1.30891969069548,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",0,"S25",1.37623962130558,1.35303446173828,1.4024374014563,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",0,"S10",1.56822781438399,1.5341142082295,1.60801179497248,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",1.5,"S90",1.00732077699033,1.0016721903969,1.01683645052584,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",1.5,"S75",1.00732077699033,1.0016721903969,1.01683645052584,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",1.5,"S50",1.11068793552987,1.08833212718787,1.13758439807294,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",1.5,"S25",1.14006375237484,1.11640674266042,1.16483777483509,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"default",1.5,"S10",1.14006375237484,1.11640674266042,1.16483777483509,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",0,"S90",0.984257366364954,0.922305113837247,1.0618171652657,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",0,"S75",0.969768165831644,0.909082048677559,1.03367260238765,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",0,"S50",0.959636155517691,0.905535459673076,1.01056221881196,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",0,"S25",0.938402663299826,0.890269588147417,0.988915293565282,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",0,"S10",0.921818512517213,0.873318280014591,0.979675832502294,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",1.5,"S90",0.961041197902179,0.898656500107043,1.0284491474445,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",1.5,"S75",0.961041197902179,0.898656500107043,1.0284491474445,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",1.5,"S50",0.938044817391911,0.879520104016015,0.991677307992318,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",1.5,"S25",0.923955132323575,0.867260225850358,0.980403670129822,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim100",1.5,"S10",0.923955132323575,0.867260225850358,0.980403670129822,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",0,"S90",1.02495421700229,0.994204479056886,1.0635860208831,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",0,"S75",1.01039194953613,0.979277524259982,1.0365808962539,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",0,"S50",0.988598553982296,0.959811770223007,1.01358058675666,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",0,"S25",0.974646169592442,0.950071320446006,0.999380743439722,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",0,"S10",0.953616136450664,0.930091102911234,0.984294370502356,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",1.5,"S90",0.998847793659724,0.970570699860766,1.03077051760215,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",1.5,"S75",0.998847793659724,0.970570699860766,1.03077051760215,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",1.5,"S50",0.969203281113029,0.943703454363993,0.994732427224446,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",1.5,"S25",0.954381237290839,0.930400538804592,0.98198709267071,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
3,"sim500",1.5,"S10",0.954381237290839,0.930400538804592,0.98198709267071,"nonmonotone",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",0,"S90",1.00199172804167,1.0015234924647,1.0024175178011,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",0,"S75",1.00199172804167,1.0015234924647,1.0024175178011,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",0,"S50",1.0392189851528,1.03331928755408,1.09158154687433,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",0,"S25",1.17593149382076,1.16411853887142,1.2337905786697,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",0,"S10",1.27358636466053,1.26101419097259,1.35526320386771,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",1.5,"S90",0.992629025089296,0.991496132470491,0.993716002481769,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",1.5,"S75",0.992629025089296,0.991496132470491,0.993716002481769,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",1.5,"S50",0.992629025089296,0.991496132470491,0.993716002481769,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",1.5,"S25",0.998532990418347,0.995800822349763,1.01064542658338,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"default",1.5,"S10",1.02251793919518,1.01551335538503,1.04487777392283,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",0,"S90",0.962576757134473,0.902985541649278,1.02054005936595,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",0,"S75",0.962576757134473,0.902985541649278,1.02054005936595,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",0,"S50",0.956775946551248,0.906082276356176,1.01492118834711,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",0,"S25",0.958813628886275,0.901390578952266,1.01745024807397,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",0,"S10",0.946432504026188,0.887524388912031,1.00804440907903,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",1.5,"S90",0.948012321608314,0.894490538690284,1.0060032830135,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",1.5,"S75",0.948012321608314,0.894490538690284,1.0060032830135,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",1.5,"S50",0.948012321608314,0.894490538690284,1.0060032830135,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",1.5,"S25",0.94406783621288,0.894147963481064,0.994623539530584,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim100",1.5,"S10",0.947852596236965,0.896736602432397,1.00504184053629,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",0,"S90",0.991470077443777,0.963370991813418,1.02308199681498,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",0,"S75",0.991470077443777,0.963370991813418,1.02308199681498,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",0,"S50",0.986210263329525,0.958666090091621,1.01539266711924,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",0,"S25",0.986523856014051,0.958088878964435,1.01079543460502,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",0,"S10",0.979398951539245,0.950820815764983,1.00614591866189,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",1.5,"S90",0.983466479730537,0.95996807280051,1.00850682761977,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",1.5,"S75",0.983466479730537,0.95996807280051,1.00850682761977,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",1.5,"S50",0.983466479730537,0.95996807280051,1.00850682761977,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",1.5,"S25",0.976048553823104,0.952617494172338,1.00441384900563,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
4,"sim500",1.5,"S10",0.982936012268446,0.954677638571386,1.01110912889544,"constant",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
5,"default",0,"S90",1.01126217390017,1.01009685477072,1.01328981439261,"increasing",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
5,"default",0,"S75",1.01110887606185,1.01065521822419,1.05623101526603,"increasing",250,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main"
