"scenario_id","baseline","n","cens","cens_lab","grid_type","grid_lab","J","k","arm","method","x1","t_label","n_reps","coverage","miss_below","miss_above","mean_width","med_width","bias","rmse","viol_01","cov_clip","true_surv","cov_lo","cov_hi"
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S90",500,0.96,0.022,0.018,0.134781834357641,0.133872063425271,0.00281013299105222,0.0347630491870528,0,0.96,0.766495843264134,0.939026404165149,0.973959202610223
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S75",500,0.96,0.022,0.018,0.134781834357641,0.133872063425271,0.00281013299105222,0.0347630491870528,0,0.96,0.766495843264134,0.939026404165149,0.973959202610223
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S50",500,0.956,0.02,0.024,0.20006706723864,0.193415764641701,-3.12489958639679e-05,0.0489782697114975,0,0.956,0.450328478140306,0.934280557127672,0.970766044371393
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S25",500,0.978,0.008,0.014,0.195803801668488,0.18974906949334,-0.00556823150082044,0.0449262994309106,0,0.978,0.264575131106459,0.961039138788684,0.987671991730072
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S10",500,0.988,0.004,0.008,0.158524472831846,0.156861724728124,-0.00423621477874667,0.0316241391296292,0,0.988,0.0913246961678278,0.974069638883553,0.994489004825972
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",1.5,"S90",500,0.918,0.036,0.046,0.276284467972114,0.274615499432294,-0.00461328665508235,0.0773778885202728,0,0.918,0.467702091780829,0.890645140842611,0.938980910531531
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",1.5,"S75",500,0.918,0.036,0.046,0.276284467972114,0.274615499432294,-0.00461328665508235,0.0773778885202728,0,0.918,0.467702091780829,0.890645140842611,0.938980910531531
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",1.5,"S50",500,0.918,0.036,0.046,0.276284467972114,0.274615499432294,-0.00461328665508235,0.0773778885202728,0,0.918,0.467702091780829,0.890645140842611,0.938980910531531
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",1.5,"S25",500,0.926,0.022,0.052,0.247347458334406,0.246819179772883,-0.00218759886059921,0.0677169720715557,0,0.926,0.218745246656163,0.89966524667777,0.945838815248988
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",1.5,"S10",500,0.94,0.016,0.044,0.177625186924239,0.176032838033167,-0.000536670563822875,0.0464887234115783,0,0.94,0.102307609428201,0.91563893687478,0.957651643519054
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",0,"S90",500,0.934,0.054,0.012,0.134074411475921,0.133152765500903,0.00281013299105222,0.0347630491870528,0,0.934,0.766495843264134,0.908760598839147,0.952621473640226
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",0,"S75",500,0.934,0.054,0.012,0.134074411475921,0.133152765500903,0.00281013299105222,0.0347630491870528,0,0.934,0.766495843264134,0.908760598839147,0.952621473640226
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",0,"S50",500,0.936,0.03,0.034,0.185645273102672,0.185086848819124,-3.12489958639679e-05,0.0489782697114975,0,0.936,0.450328478140306,0.911047591162316,0.954303983955211
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",0,"S25",500,0.91,0.02,0.07,0.161665349977199,0.161531585910908,-0.00556823150082044,0.0449262994309106,0,0.91,0.264575131106459,0.881690588710667,0.932057452110861
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",0,"S10",500,0.898,0.01,0.092,0.119951032882507,0.119571911678117,-0.00423621477874667,0.0316241391296292,0.058,0.898,0.0913246961678278,0.868365377095774,0.92156564789683
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",1.5,"S90",500,0.904,0.052,0.044,0.28173780452577,0.279771453272745,-0.00461328665508235,0.0773778885202728,0,0.904,0.467702091780829,0.875013037572485,0.926826495334581
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",1.5,"S75",500,0.904,0.052,0.044,0.28173780452577,0.279771453272745,-0.00461328665508235,0.0773778885202728,0,0.904,0.467702091780829,0.875013037572485,0.926826495334581
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",1.5,"S50",500,0.904,0.052,0.044,0.28173780452577,0.279771453272745,-0.00461328665508235,0.0773778885202728,0,0.904,0.467702091780829,0.875013037572485,0.926826495334581
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",1.5,"S25",500,0.902,0.02,0.078,0.248945878669033,0.249602980568443,-0.00218759886059921,0.0677169720715557,0.022,0.902,0.218745246656163,0.872793949133518,0.925076081135394
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","delta",1.5,"S10",500,0.886,0.004,0.11,0.171990743691049,0.171085518414473,-0.000536670563822875,0.0464887234115783,0.308,0.886,0.102307609428201,0.855150910157685,0.910963099005997
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",0,"S90",500,0.934,0.036,0.03,0.129855250423946,0.128407662246949,0.00281013299105222,0.0347630491870528,0,0.934,0.766495843264134,0.908760598839147,0.952621473640226
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",0,"S75",500,0.934,0.036,0.03,0.129855250423946,0.128407662246949,0.00281013299105222,0.0347630491870528,0,0.934,0.766495843264134,0.908760598839147,0.952621473640226
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",0,"S50",500,0.918,0.032,0.05,0.177989867311312,0.177491944999157,-3.12489958639679e-05,0.0489782697114975,0,0.918,0.450328478140306,0.890645140842611,0.938980910531531
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",0,"S25",500,0.9,0.034,0.066,0.154278388535053,0.154166234728063,-0.00556823150082044,0.0449262994309106,0,0.9,0.264575131106459,0.87057809036806,0.923322437262698
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",0,"S10",500,0.916,0.018,0.066,0.112596253970913,0.11203070149724,-0.00423621477874667,0.0316241391296292,0,0.916,0.0913246961678278,0.888400685539819,0.93725586319617
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",1.5,"S90",500,0.908,0.044,0.048,0.265360081879244,0.262045011839755,-0.00461328665508235,0.0773778885202728,0,0.908,0.467702091780829,0.879461261863826,0.930317276319548
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",1.5,"S75",500,0.908,0.044,0.048,0.265360081879244,0.262045011839755,-0.00461328665508235,0.0773778885202728,0,0.908,0.467702091780829,0.879461261863826,0.930317276319548
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",1.5,"S50",500,0.908,0.044,0.048,0.265360081879244,0.262045011839755,-0.00461328665508235,0.0773778885202728,0,0.908,0.467702091780829,0.879461261863826,0.930317276319548
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",1.5,"S25",500,0.9,0.044,0.056,0.231899629789485,0.231050644975659,-0.00218759886059921,0.0677169720715557,0,0.9,0.218745246656163,0.87057809036806,0.923322437262698
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim100",1.5,"S10",500,0.898,0.036,0.066,0.162497229162654,0.160524120291623,-0.000536670563822875,0.0464887234115783,0,0.898,0.102307609428201,0.868365377095774,0.92156564789683
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",0,"S90",500,0.96,0.022,0.018,0.133378747871538,0.131776168913675,0.00281013299105222,0.0347630491870528,0,0.96,0.766495843264134,0.939026404165149,0.973959202610223
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",0,"S75",500,0.96,0.022,0.018,0.133378747871538,0.131776168913675,0.00281013299105222,0.0347630491870528,0,0.96,0.766495843264134,0.939026404165149,0.973959202610223
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",0,"S50",500,0.936,0.024,0.04,0.182347154147108,0.181616682065363,-3.12489958639679e-05,0.0489782697114975,0,0.936,0.450328478140306,0.911047591162316,0.954303983955211
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",0,"S25",500,0.912,0.02,0.068,0.158174597051472,0.158272257869652,-0.00556823150082044,0.0449262994309106,0,0.912,0.264575131106459,0.88392352793461,0.933794015525071
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",0,"S10",500,0.932,0.016,0.052,0.115718392137076,0.115434285550416,-0.00423621477874667,0.0316241391296292,0,0.932,0.0913246961678278,0.906479077266126,0.950933492575093
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",1.5,"S90",500,0.92,0.036,0.044,0.274143512622527,0.271714940872639,-0.00461328665508235,0.0773778885202728,0,0.92,0.467702091780829,0.892893683422149,0.940701870590147
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",1.5,"S75",500,0.92,0.036,0.044,0.274143512622527,0.271714940872639,-0.00461328665508235,0.0773778885202728,0,0.92,0.467702091780829,0.892893683422149,0.940701870590147
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",1.5,"S50",500,0.92,0.036,0.044,0.274143512622527,0.271714940872639,-0.00461328665508235,0.0773778885202728,0,0.92,0.467702091780829,0.892893683422149,0.940701870590147
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",1.5,"S25",500,0.916,0.03,0.054,0.240005412886655,0.240613757266179,-0.00218759886059921,0.0677169720715557,0,0.916,0.218745246656163,0.888400685539819,0.93725586319617
1,"constant",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","sim500",1.5,"S10",500,0.928,0.016,0.056,0.168343507278755,0.168630643961204,-0.000536670563822875,0.0464887234115783,0,0.928,0.102307609428201,0.901931595983038,0.947541968581874
2,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S90",500,0.94,0.032,0.028,0.060220657077502,0.058801539365643,0.000494563077197794,0.0156377815958088,0,0.94,0.934687674421374,0.91563893687478,0.957651643519054
2,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S75",500,0.954,0.02,0.026,0.151771241323702,0.150140174871163,0.000481526214367185,0.0374239287376218,0,0.954,0.76672361027268,0.931922207231727,0.969154891629184
2,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S50",500,0.972,0.012,0.016,0.201109985126454,0.191839617865393,-0.00117641207647691,0.047488342338136,0,0.972,0.553099381957544,0.953553597325051,0.983249025279244
2,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S25",500,0.976,0.008,0.016,0.196519414870831,0.191578220539059,-0.00149265572709811,0.0405053020191987,0,0.976,0.218853325604182,0.958522942536099,0.986218685344503
2,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",0,"S10",500,0.984,0.002,0.014,0.137189025411422,0.135281516592395,0.000967243360966227,0.0284192709850896,0,0.984,0.07,0.968748891466606,0.991870746966612
2,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",1.5,"S90",500,0.938,0.036,0.026,0.153178711928573,0.149468799209062,0.000929487905556256,0.0403068622184403,0,0.938,0.82447052844335,0.913340286898362,0.955980790857318
2,"increasing",100,0.2,"20% cens","equidistant","equidistant J=10",10,7,"main","default",1.5,"S75",500,0.938,0.036,0.026,0.153178711928573,0.149468799209062,0.000929487905556256,0.0403068622184403,0,0.938,0.82447052844335,0.913340286898362,0.955980790857318
